Training Steps,MADDPG Cost,DQN Cost,D3QN Cost,Local Cost,Mec Cost,Random Cost
0,"[1.37454564 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564
 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564
 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564
 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564
 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564
 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564
 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564
 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564
 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564
 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564
 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564
 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564
 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564 1.37454564
 1.37454564 1.37454564]","[1.2127092 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092
 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092
 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092
 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092
 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092
 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092
 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092
 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092
 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092
 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092
 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092 1.2127092
 1.2127092 1.2127092 1.2127092]","[1.17223918 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918
 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918
 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918
 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918
 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918
 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918
 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918
 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918
 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918
 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918
 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918
 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918
 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918 1.17223918
 1.17223918 1.17223918]","[1.71187294 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294
 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294
 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294
 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294
 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294
 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294
 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294
 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294
 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294
 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294
 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294
 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294
 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294 1.71187294
 1.71187294 1.71187294]","[0.97731118 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118
 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118
 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118
 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118
 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118
 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118
 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118
 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118
 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118
 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118
 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118
 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118
 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118 0.97731118
 0.97731118 0.97731118]","[1.12436655 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655
 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655
 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655
 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655
 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655
 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655
 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655
 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655
 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655
 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655
 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655
 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655
 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655 1.12436655
 1.12436655 1.12436655]"
1,"[1.41798679 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679
 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679
 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679
 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679
 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679
 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679
 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679
 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679
 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679
 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679
 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679
 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679
 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679 1.41798679
 1.41798679 1.41798679]","[1.06701291 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291
 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291
 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291
 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291
 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291
 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291
 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291
 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291
 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291
 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291
 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291
 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291
 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291 1.06701291
 1.06701291 1.06701291]","[1.30559571 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571
 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571
 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571
 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571
 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571
 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571
 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571
 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571
 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571
 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571
 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571
 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571
 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571 1.30559571
 1.30559571 1.30559571]","[1.78301042 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042
 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042
 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042
 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042
 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042
 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042
 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042
 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042
 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042
 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042
 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042
 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042
 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042 1.78301042
 1.78301042 1.78301042]","[0.93322907 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907
 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907
 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907
 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907
 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907
 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907
 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907
 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907
 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907
 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907
 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907
 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907
 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907 0.93322907
 0.93322907 0.93322907]","[1.1500488 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488
 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488
 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488
 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488
 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488
 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488
 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488
 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488
 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488
 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488
 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488 1.1500488
 1.1500488 1.1500488 1.1500488]"
2,"[1.44049229 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229
 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229
 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229
 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229
 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229
 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229
 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229
 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229
 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229
 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229
 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229
 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229
 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229 1.44049229
 1.44049229 1.44049229]","[1.12178984 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984
 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984
 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984
 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984
 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984
 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984
 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984
 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984
 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984
 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984
 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984
 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984
 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984 1.12178984
 1.12178984 1.12178984]","[1.31337342 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342
 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342
 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342
 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342
 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342
 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342
 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342
 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342
 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342
 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342
 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342
 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342
 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342 1.31337342
 1.31337342 1.31337342]","[1.78602275 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275
 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275
 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275
 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275
 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275
 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275
 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275
 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275
 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275
 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275
 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275
 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275
 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275 1.78602275
 1.78602275 1.78602275]","[0.96828313 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313
 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313
 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313
 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313
 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313
 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313
 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313
 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313
 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313
 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313
 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313
 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313
 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313 0.96828313
 0.96828313 0.96828313]","[1.08529279 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279
 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279
 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279
 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279
 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279
 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279
 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279
 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279
 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279
 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279
 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279
 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279
 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279 1.08529279
 1.08529279 1.08529279]"
3,"[1.48083754 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754
 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754
 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754
 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754
 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754
 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754
 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754
 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754
 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754
 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754
 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754
 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754
 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754 1.48083754
 1.48083754 1.48083754]","[1.23553426 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426
 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426
 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426
 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426
 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426
 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426
 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426
 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426
 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426
 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426
 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426
 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426
 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426 1.23553426
 1.23553426 1.23553426]","[1.17914908 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908
 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908
 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908
 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908
 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908
 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908
 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908
 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908
 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908
 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908
 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908
 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908
 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908 1.17914908
 1.17914908 1.17914908]","[1.91543988 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988
 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988
 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988
 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988
 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988
 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988
 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988
 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988
 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988
 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988
 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988
 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988
 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988 1.91543988
 1.91543988 1.91543988]","[0.91211733 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733
 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733
 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733
 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733
 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733
 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733
 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733
 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733
 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733
 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733
 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733
 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733
 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733 0.91211733
 0.91211733 0.91211733]","[1.16379079 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079
 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079
 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079
 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079
 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079
 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079
 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079
 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079
 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079
 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079
 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079
 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079
 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079 1.16379079
 1.16379079 1.16379079]"
